sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,IQ,passed
1,17,1,5,2,2,1,1,0,1,2,0,1,0,0,1,0,5,4,5,5,4,7,yes
0,17,1,6,1,1,1,1,1,1,2,0,0,1,0,1,0,4,3,3,4,2,5,yes
1,18,1,5,2,2,0,0,0,1,3,0,1,1,0,1,0,4,3,3,2,5,6,yes
1,17,1,5,1,1,1,1,0,1,3,0,1,1,0,1,0,4,3,3,3,6,7,yes
0,18,1,5,2,1,1,0,0,1,3,0,0,1,1,1,0,4,2,4,2,6,7,yes
0,18,1,3,4,4,1,1,0,1,2,0,1,1,1,1,0,5,4,3,2,9,8,yes
0,18,1,5,4,2,1,1,0,1,2,0,1,1,1,1,1,4,3,2,5,11,7,yes
1,17,1,4,4,3,1,1,0,1,3,0,1,1,0,1,0,4,2,2,3,0,8,yes
1,18,1,3,2,1,1,0,0,1,2,1,0,0,0,1,1,5,4,3,5,12,7,yes
1,17,0,3,3,1,1,1,0,2,4,0,1,1,0,0,0,3,1,2,3,6,8,yes
0,18,0,3,3,2,1,1,0,2,3,0,1,1,1,1,0,5,4,2,4,8,6,yes
0,17,1,5,3,3,1,1,0,1,1,0,1,1,0,1,0,4,4,3,5,4,7,yes
1,19,1,6,4,4,1,1,1,2,2,0,1,1,1,1,0,2,3,4,2,0,5,no
1,18,1,3,4,3,1,1,1,2,2,0,1,1,0,1,1,4,4,5,2,10,3,no
1,18,1,5,4,3,1,1,1,1,4,0,1,1,0,1,0,4,3,3,3,0,8,yes
0,18,1,3,4,4,1,1,0,1,1,0,1,1,0,1,1,1,4,2,1,5,8,yes
1,18,1,3,4,4,1,1,0,1,2,0,1,0,0,1,1,4,2,4,4,14,7,yes
0,17,1,3,4,4,1,1,1,2,1,0,0,1,0,1,0,4,1,1,5,0,6,yes
1,17,1,5,4,2,1,1,0,2,3,0,1,1,0,1,0,4,3,3,3,0,7,yes
